Designator,Mid X,Mid Y,Layer,Rotation
BT1,106.850002mm,106.594367mm,Bottom,180.0
C1,113.390002mm,18.719367mm,Bottom,0.0
C2,113.390002mm,20.719367mm,Bottom,0.0
C3,113.390002mm,22.719367mm,Bottom,0.0
C4,113.390002mm,24.719367mm,Bottom,0.0
C5,113.390002mm,26.719367mm,Bottom,0.0
C6,117.390002mm,18.719367mm,Bottom,180.0
C7,117.390002mm,20.719367mm,Bottom,180.0
C8,117.390002mm,22.719367mm,Bottom,180.0
C9,117.390002mm,24.719367mm,Bottom,180.0
C10,117.390002mm,26.719367mm,Bottom,180.0
C14,122.850002mm,25.194367mm,Bottom,0.0
C15,122.850002mm,27.194367mm,Bottom,0.0
C16,122.850002mm,29.194367mm,Bottom,0.0
C17,122.850002mm,31.194367mm,Bottom,0.0
C18,122.850002mm,33.194367mm,Bottom,0.0
C19,126.850002mm,25.194367mm,Bottom,180.0
C20,126.850002mm,27.194367mm,Bottom,180.0
C21,126.850002mm,29.194367mm,Bottom,180.0
C22,126.850002mm,31.194367mm,Bottom,180.0
C23,126.850002mm,33.194367mm,Bottom,180.0
C27,67.250002mm,76.394367mm,Bottom,0.0
C28,49.750002mm,68.394367mm,Bottom,90.0
C29,55.267979mm,70.094367mm,Bottom,90.0
C30,49.750002mm,71.784368mm,Bottom,270.0
C31,58.850002mm,74.194367mm,Bottom,180.0
C32,58.850002mm,75.994367mm,Bottom,180.0
C33,98.350002mm,111.594367mm,Bottom,0.0
D1,116.350002mm,102.594367mm,Bottom,90.0
D2,61.850002mm,33.594367mm,Bottom,180.0
D4,54.350002mm,33.594367mm,Bottom,180.0
D8,52.767979mm,70.094367mm,Bottom,180.0
F5,76.950002mm,44.644367mm,Bottom,0.0
F6,69.950002mm,44.644367mm,Bottom,0.0
F7,83.950002mm,44.744367mm,Bottom,0.0
F8,90.900002mm,44.694367mm,Bottom,0.0
F9,97.900002mm,44.694367mm,Bottom,0.0
F10,99.900002mm,97.744367mm,Bottom,0.0
L1,47.350002mm,71.094367mm,Bottom,0.0
L2,47.350002mm,69.094367mm,Bottom,0.0
R2,111.350002mm,30.594367mm,Bottom,180.0
R3,114.350002mm,30.594367mm,Bottom,180.0
R5,70.550002mm,71.494367mm,Bottom,0.0
R6,61.550002mm,92.194367mm,Bottom,0.0
R7,127.971684mm,63.594367mm,Bottom,180.0
R8,127.971684mm,66.094367mm,Bottom,180.0
R12,55.650002mm,44.894367mm,Bottom,180.0
