Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
BT1,106.850002mm,106.594367mm,Bottom,180.0,106.850002mm,106.594367mm
C1,113.390002mm,18.719367mm,Bottom,0.0,113.390002mm,18.719367mm
C2,113.390002mm,20.719367mm,Bottom,0.0,113.390002mm,20.719367mm
C3,113.390002mm,22.719367mm,Bottom,0.0,113.390002mm,22.719367mm
C4,113.390002mm,24.719367mm,Bottom,0.0,113.390002mm,24.719367mm
C5,113.390002mm,26.719367mm,Bottom,0.0,113.390002mm,26.719367mm
C6,117.390002mm,18.719367mm,Bottom,180.0,117.390002mm,18.719367mm
C7,117.390002mm,20.719367mm,Bottom,180.0,117.390002mm,20.719367mm
C8,117.390002mm,22.719367mm,Bottom,180.0,117.390002mm,22.719367mm
C9,117.390002mm,24.719367mm,Bottom,180.0,117.390002mm,24.719367mm
C10,117.390002mm,26.719367mm,Bottom,180.0,117.390002mm,26.719367mm
C14,122.850002mm,25.194367mm,Bottom,0.0,122.850002mm,25.194367mm
C15,122.850002mm,27.194367mm,Bottom,0.0,122.850002mm,27.194367mm
C16,122.850002mm,29.194367mm,Bottom,0.0,122.850002mm,29.194367mm
C17,122.850002mm,31.194367mm,Bottom,0.0,122.850002mm,31.194367mm
C18,122.850002mm,33.194367mm,Bottom,0.0,122.850002mm,33.194367mm
C19,126.850002mm,25.194367mm,Bottom,180.0,126.850002mm,25.194367mm
C20,126.850002mm,27.194367mm,Bottom,180.0,126.850002mm,27.194367mm
C21,126.850002mm,29.194367mm,Bottom,180.0,126.850002mm,29.194367mm
C22,126.850002mm,31.194367mm,Bottom,180.0,126.850002mm,31.194367mm
C23,126.850002mm,33.194367mm,Bottom,180.0,126.850002mm,33.194367mm
C27,67.250002mm,76.394367mm,Bottom,0.0,67.250002mm,76.394367mm
C28,49.750002mm,68.394367mm,Bottom,90.0,49.750002mm,68.394367mm
C29,55.267979mm,70.094367mm,Bottom,90.0,55.267979mm,70.094367mm
C30,49.750002mm,71.784368mm,Bottom,-90.0,49.750002mm,71.784368mm
C31,58.850002mm,74.194367mm,Bottom,180.0,58.850002mm,74.194367mm
C32,58.850002mm,75.994367mm,Bottom,180.0,58.850002mm,75.994367mm
C33,98.350002mm,111.594367mm,Bottom,0.0,98.350002mm,111.594367mm
D1,116.350002mm,102.594367mm,Bottom,90.0,116.350002mm,102.594367mm
D2,61.850002mm,33.594367mm,Bottom,180.0,61.850002mm,33.594367mm
D4,54.350002mm,33.594367mm,Bottom,180.0,54.350002mm,33.594367mm
D8,52.767979mm,70.094367mm,Bottom,180.0,52.767979mm,70.094367mm
F5,76.950002mm,44.644367mm,Bottom,0.0,76.950002mm,44.644367mm
F6,69.950002mm,44.644367mm,Bottom,0.0,69.950002mm,44.644367mm
F7,83.950002mm,44.744367mm,Bottom,0.0,83.950002mm,44.744367mm
F8,90.900002mm,44.694367mm,Bottom,0.0,90.900002mm,44.694367mm
F9,97.900002mm,44.694367mm,Bottom,0.0,97.900002mm,44.694367mm
F10,99.900002mm,97.744367mm,Bottom,0.0,99.900002mm,97.744367mm
L1,47.350002mm,71.094367mm,Bottom,0.0,47.350002mm,71.094367mm
L2,47.350002mm,69.094367mm,Bottom,0.0,47.350002mm,69.094367mm
R2,111.350002mm,30.594367mm,Bottom,180.0,111.350002mm,30.594367mm
