Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","CR1220","CR1220-2",-106.850002,106.594367,180.000000,bottom
"C1","10u","C0805",-113.390002,18.719367,0.000000,bottom
"C2","10u","C0805",-113.390002,20.719367,0.000000,bottom
"C3","10u","C0805",-113.390002,22.719367,0.000000,bottom
"C4","10u","C0805",-113.390002,24.719367,0.000000,bottom
"C5","10u","C0805",-113.390002,26.719367,0.000000,bottom
"C6","10u","C0805",-117.390002,18.719367,180.000000,bottom
"C7","10u","C0805",-117.390002,20.719367,180.000000,bottom
"C8","10u","C0805",-117.390002,22.719367,180.000000,bottom
"C9","10u","C0805",-117.390002,24.719367,180.000000,bottom
"C10","10u","C0805",-117.390002,26.719367,180.000000,bottom
"C14","10u","C0805",-122.850002,25.194367,0.000000,bottom
"C15","10u","C0805",-122.850002,27.194367,0.000000,bottom
"C16","10u","C0805",-122.850002,29.194367,0.000000,bottom
"C17","10u","C0805",-122.850002,31.194367,0.000000,bottom
"C18","10u","C0805",-122.850002,33.194367,0.000000,bottom
"C19","10u","C0805",-126.850002,25.194367,180.000000,bottom
"C20","10u","C0805",-126.850002,27.194367,180.000000,bottom
"C21","10u","C0805",-126.850002,29.194367,180.000000,bottom
"C22","10u","C0805",-126.850002,31.194367,180.000000,bottom
"C23","10u","C0805",-126.850002,33.194367,180.000000,bottom
"C27","100n","C0603",-67.250002,76.394367,0.000000,bottom
"C28","10n","C0603",-49.750002,68.394367,90.000000,bottom
"C29","100n","C0603",-55.267979,70.094367,90.000000,bottom
"C30","10n","C0603",-49.750002,71.784368,-90.000000,bottom
"C31","100n","C0603",-58.850002,74.194367,180.000000,bottom
"C32","1u","C0603",-58.850002,75.994367,180.000000,bottom
"C33","100n","C0603",-98.350002,111.594367,0.000000,bottom
"D1","1N4148WS","SOD-323",-116.350002,102.594367,90.000000,bottom
"D2","B5819W","SOD-123",-61.850002,33.594367,180.000000,bottom
"D4","B5819W","SOD-123",-54.350002,33.594367,180.000000,bottom
"D8","NUP2105L","SOT-23",-52.767979,70.094367,0.000000,bottom
"F5","50mA","Fuse_0603_1608Metric",-76.950002,44.644367,0.000000,bottom
"F6","50mA","Fuse_0603_1608Metric",-69.950002,44.644367,0.000000,bottom
"F7","50mA","Fuse_0603_1608Metric",-83.950002,44.744367,0.000000,bottom
"F8","50mA","Fuse_0603_1608Metric",-90.900002,44.694367,0.000000,bottom
"F9","50mA","Fuse_0603_1608Metric",-97.900002,44.694367,0.000000,bottom
"F10","50mA","Fuse_0603_1608Metric",-99.900002,97.744367,0.000000,bottom
"L1","470R@100MHz","L_0603_1608Metric",-47.350002,71.094367,0.000000,bottom
"L2","470R@100MHz","L_0603_1608Metric",-47.350002,69.094367,0.000000,bottom
"R2","33k","R0603",-111.350002,30.594367,180.000000,bottom
"R3","6.8k","R0603",-114.350002,30.594367,180.000000,bottom
"R5","0","R0603",-70.550002,71.494367,0.000000,bottom
"R6","0","R0603",-61.550002,92.194367,0.000000,bottom
"R7","5.6k","R0603",-127.971684,63.594367,180.000000,bottom
"R8","5.6k","R0603",-127.971684,66.094367,180.000000,bottom
"R12","4.7k","R0603",-55.650002,44.894367,180.000000,bottom
"R13","4.7k","R0603",-59.050002,44.894367,180.000000,bottom
"R15","4.7k","R0603",-42.500002,17.094367,180.000000,bottom
"R16","4.7k","R0603",-42.500002,19.644367,180.000000,bottom
"R17","22","R0603",-69.950002,43.106867,180.000000,bottom
"R18","22","R0603",-76.950002,43.106867,180.000000,bottom
"R19","22","R0603",-83.950002,43.106867,180.000000,bottom
"R20","0","R_2512_6332Metric",-69.950002,38.494367,-90.000000,bottom
"R21","0","R_2512_6332Metric",-76.950002,38.494367,-90.000000,bottom
"R22","0","R_2512_6332Metric",-83.950002,38.494367,-90.000000,bottom
"R23","22","R0603",-90.950002,43.106867,180.000000,bottom
"R24","22","R0603",-97.950002,43.106867,180.000000,bottom
"R25","22","R0603",-104.950002,43.106867,180.000000,bottom
"R26","0","R_2512_6332Metric",-90.950002,38.494367,-90.000000,bottom
"R27","0","R_2512_6332Metric",-97.950002,38.494367,-90.000000,bottom
"R28","0","R_2512_6332Metric",-104.950002,38.494367,-90.000000,bottom
"R29","4.7k","R0603",-90.550002,18.844367,180.000000,bottom
"R30","4.7k","R0603",-106.200002,50.794367,180.000000,bottom
"R31","4.7k","R0603",-90.550002,17.144367,180.000000,bottom
"R32","4.7k","R0603",-103.950002,48.444367,0.000000,bottom
"R33","4.7k","R0603",-104.350002,46.594367,0.000000,bottom
"R34","4.7k","R0603",-90.550002,20.494367,180.000000,bottom
"U4","MAX31855KASA","SOIC-8_3.9x4.9mm_P1.27mm",-60.550002,70.094367,0.000000,bottom
"U6","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",-48.075002,19.029367,0.000000,bottom
"U8","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",-56.755002,39.919367,-90.000000,bottom
"U9","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",-64.150002,17.744367,0.000000,bottom
"U10","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",-72.900002,17.744367,0.000000,bottom
"U11","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",-81.450002,17.744367,0.000000,bottom
"C11","100n","C0603",115.050002,16.194367,0.000000,top
"C12","10n","C0603",118.150002,16.194367,180.000000,top
"C13","10n","C0603",117.390002,31.319367,0.000000,top
"C24","100n","C0603",123.350002,22.194367,0.000000,top
"C25","10n","C0603",126.850002,22.194367,180.000000,top
"C26","10n","C0603",126.850002,38.194367,0.000000,top
"D3","B5819W","SOD-123",55.850002,33.594367,180.000000,top
"D5","B5819W","SOD-123",63.350002,33.594367,180.000000,top
"F1","12H1500D","PAD-1206-PAD",115.350002,37.394367,0.000000,top
"F2","12H1500D","PAD-1206-PAD",109.750002,35.594367,90.000000,top
"F3","12H1500D","PAD-1206-PAD",115.350002,35.194367,0.000000,top
"F4","12H1500D","PAD-1206-PAD",115.350002,32.994367,0.000000,top
"J6","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",94.450002,112.744367,0.000000,top
"J7","Conn_01x05_Male","Molex_SPOX_5267-05A_1x05_P2.50mm_Vertical",142.500000,88.500000,180.000000,top
"J8","USB_B_Mini","USB-MINI-B-VERTICAL",127.650002,72.969367,180.000000,top
"J9","USB_C","USB_C",128.350002,64.594367,90.000000,top
"M1","Module-power_12and5V-0.3","power_12and5V",131.125003,39.219366,90.000000,top
"M2","Module-knock-0.2","knock",50.225002,91.569366,0.000000,top
"M3","Module-vr-discrete-0.5","vr-discrete",54.875002,56.869367,0.000000,top
"M4","Module-vr-max9924-0.1","vr-max9924",54.875002,45.819367,0.000000,top
"M5","Module-wbo-0.5","wbo",92.750002,114.019367,180.000000,top
"M6","Module:mega-mcu100/0.3","mega-mcu100",84.150002,94.094377,-90.000000,top
"M7","Module-can-0.1","can",77.675004,45.219367,0.000000,top
"P3","Pad","PAD-TH",129.850002,77.094367,90.000000,top
"P4","Pad","PAD-TH",124.850002,77.094367,90.000000,top
"P5","Pad","PAD-TH",86.350002,56.194367,90.000000,top
"P6","Pad","PAD-TH",86.350002,53.654367,90.000000,top
"P7","Pad","PAD-TH",108.350002,97.794367,90.000000,top
"P8","Pad","PAD-TH",113.050002,97.794367,90.000000,top
"P9","963356-1","963356-1",13.000000,64.850000,-90.000000,top
"Q7","ISL9V3040D3ST","TO-252-2",69.850002,37.254367,-90.000000,top
"Q8","ISL9V3040D3ST","TO-252-2",76.850002,37.254367,-90.000000,top
"Q9","ISL9V3040D3ST","TO-252-2",83.850002,37.254367,-90.000000,top
"Q10","ISL9V3040D3ST","TO-252-2",90.850002,37.254367,-90.000000,top
"Q11","ISL9V3040D3ST","TO-252-2",97.850002,37.254367,-90.000000,top
"Q12","ISL9V3040D3ST","TO-252-2",104.850002,37.254367,-90.000000,top
"R1","4.7k","R0603",52.425002,49.526864,-90.000000,top
"R4","Jumper-Pad-Pad","PAD-0805-PAD",127.780393,58.068976,0.000000,top
"R9","4.7k","R0603",114.390002,31.319367,0.000000,top
"R10","4.7k","R0603",59.900002,43.194367,-90.000000,top
"R11","4.7k","R0603",54.000002,44.794367,0.000000,top
"R14","4.7k","R0603",123.950002,38.194367,0.000000,top
"R35","10k","R0805",41.850002,109.344367,90.000000,top
"R36","10k","R0805",44.350002,109.344367,90.000000,top
"R37","10k","R0805",46.850002,109.344367,90.000000,top
"R38","DNP","R0805",41.850002,112.794367,90.000000,top
"R39","DNP","R0805",44.350002,112.794367,90.000000,top
"R40","DNP","R0805",46.850002,112.794367,90.000000,top
"U1","TLE9201SG","Infineon_PG-DSO-12-11",114.850002,23.594367,90.000000,top
"U2","TLE9201SG","Infineon_PG-DSO-12-11",124.310002,30.219367,90.000000,top
"U3","MPX4/MPXH6400_MAP","MPX-4_MAP",128.270000,127.600000,90.000000,top
"U5","JDY-33","JDY-33",111.225002,107.244367,-90.000000,top
"U7","VNLD5160TR-E","SOIC-8_3.9x4.9mm_P1.27mm",55.485002,39.919367,-90.000000,top
